name,email,product,balance_due,country,add_card
James Frederick,jamesthesailor@gmail.com,bronze,199.8,US,yes
Alan Nebauer,alan.nebauer@yahoo.com,bronze,199.8,AU,yes
Giovanni Soldini,gsoldini3098@icloud.com,silver,499.8,IT,yes
Arnet Taylor,arnet.taylor@yahoo.com,silver,499.8,US,yes
Nicholas Sheppard,nicholas.sheppard@icloud.com,gold,799.8,UK,yes
Rickard Lindström,rlindstrom3411@gmail.com,bronze,199.8,SE,yes
Bjørg Halvorsen,nightfalcon5621@outlook.com,bronze,199.8,NO,yes
Gerardo Boix,gboix592@hotmail.com,silver,499.8,ES,yes
Niah Vaughan,niah.vaughan@icloud.com,bronze,199.8,UA,yes
Robin Davie,rdavie250@gmail.com,bronze,199.8,UA,yes
Minoru Saito,msaito2179@outlook.com,bronze,199.8,JP,yes
Lisa Clayton,lclayton2262@yahoo.com,gold,799.8,UA,yes
Nina Alpaidis,sparkbyte3140@hotmail.com,gold,799.8,NL,yes
Jennifer Brown,jbrown8916@gmail.com,silver,499.8,US,no
Yasmin Silveira,sparkbyte1419@hotmail.com,bronze,199.8,BR,no
Alain Kalita,alain.kalita@icloud.com,bronze,199.8,FR,no
Leslie Powles,lpowles6236@gmail.com,bronze,199.8,UA,yes
Samantha Brewster,samantha.brewster@yahoo.com,silver,499.8,UA,no
Tony Skidmore,tskidmore9761@hotmail.com,bronze,199.8,US,yes
Evgeny Gvozdev,egvozdev1828@icloud.com,gold,799.8,RU,yes
Brian Caldwell,brian.caldwell@outlook.com,gold,799.8,US,no
David Dicks,david.dicks@gmail.com,bronze,199.8,AU,yes
Holly Black,holly.black@icloud.com,gold,799.8,NZ,yes
Henk de Velde,henk.develde@gmail.com,silver,499.8,NL,yes
Christophe Auguin,cauguin3938@icloud.com,bronze,199.8,FR,yes
Marc Thiercelin,mthiercelin3170@hotmail.com,silver,499.8,FR,yes
Rohan McCracken,rohan.mccracken@yahoo.com,bronze,199.8,IE,no
Tory Beasty,tbeasty8287@outlook.com,bronze,199.8,IE,no
Giuliana Priuli,giuliana.priuli@icloud.com,gold,799.8,IT,yes
Herve Laurent,herve.laurent@hotmail.com,silver,499.8,FR,yes
Eric Dumont,eric.dumont@yahoo.com,bronze,199.8,FR,yes
Pete Goss,pgoss3949@hotmail.com,bronze,199.8,UA,yes
Catherine Chabaud,catherine.chabaud@icloud.com,silver,499.8,FR,yes
Jeremy Zimmerman,jeremy.zimmerman@hotmail.com,bronze,199.8,NZ,yes
Pat Henry,pat.henry@gmail.com,bronze,199.8,US,no
Peter Kittel,peter.kittel@outlook.com,bronze,199.8,AT,yes
Karen Thorndike,kthorndike5153@hotmail.com,bronze,199.8,US,no
Mark Smith,msmith480@outlook.com,bronze,199.8,AU,yes
Tanya Hampton,tanya.hampton@gmail.com,gold,799.8,AU,no
Gabriela Caraballo,gabriela.caraballo@yahoo.com,gold,799.8,MX,yes
May Isaksen,may.isaksen@hotmail.com,gold,799.8,NO,yes
Norbert Sedacek,nsedacek384@yahoo.com,bronze,199.8,AT,no
Leo White,lwhite9435@icloud.com,gold,799.8,US,yes
Amyr Klink,amyr.klink@yahoo.com,bronze,199.8,BR,yes
Michael Garside,mgarside657@icloud.com,bronze,199.8,UA,yes
Fintan MacComisky,fmaccomisky3522@gmail.com,silver,499.8,IE,yes
Kristin Vasquez,kristin.vasquez@hotmail.com,bronze,199.8,AU,no
Jean-Pierre Mouligne,jmouligne5056@yahoo.com,gold,799.8,FR,yes
Viktor Yazykov,vyazykov5919@gmail.com,gold,799.8,RU,yes
